x,y
-165.9634371478425,510.9916872351929
-251.2110047970079,462.62076483816645
-337.3283145578746,413.75633594763315
-397.35336096770334,379.6971018623053
-434.198871072,369.9719647008
-479.11323920999996,369.9719647008
-478.11323920999996,368.9719647008
-478.11323920999996,509.54190681315
-478.11323920999996,680.1118489255
-478.11323920999996,850.68179103785
-478.11323920999996,991.2517331501999
-468.4104460797358,1014.2490235809357
-427.14937572890744,1054.4427095236329
-385.88830537807917,1094.63639546633
-361.6124252219,1104.5059611695
-308.68788270745,1104.5059611695
-255.763340193,1104.5059611695
-231.48746003682083,1094.63639546633
-190.22638968599253,1054.4427095236329
-148.96531933516422,1014.2490235809357
-139.2625262049,991.2517331501999
-139.2625262049,866.1151692419332
-139.2625262049,710.9786053336667
-139.2625262049,556.8420414254
