x,y
-450.0365628521575,510.9916872351929
-364.7889952029921,462.62076483816645
-278.6716854421254,413.75633594763315
-218.64663903229666,379.6971018623053
-181.80112892800003,369.9719647008
-136.88676079000004,369.9719647008
-137.88676079000004,368.9719647008
-137.88676079000004,509.54190681315
-137.88676079000004,680.1118489255
-137.88676079000004,850.68179103785
-137.88676079000004,991.2517331501999
-147.58955392026422,1014.2490235809357
-188.85062427109256,1054.4427095236329
-230.11169462192083,1094.63639546633
-254.38757477809997,1104.5059611695
-307.31211729255,1104.5059611695
-360.236659807,1104.5059611695
-384.51253996317917,1094.63639546633
-425.77361031400744,1054.4427095236329
-467.0346806648358,1014.2490235809357
-476.73747379509996,991.2517331501999
-476.73747379509996,866.1151692419332
-476.73747379509996,710.9786053336667
-476.73747379509996,556.8420414254
