x,y,z
-243.80840739440515,449.5746331626475,-70
-329.92571715527185,400.7102042721142,-70
-158.56083974523975,497.94555555967395,-70
-389.9507635651006,366.65097018678637,-70
-434.198871072,354.9719647008,-70
-479.11323920999996,354.9719647008,-70
-493.11323920999996,509.54190681315,-70
-493.11323920999996,680.1118489255,-70
-493.11323920999996,850.68179103785,-70
-493.11323920999996,368.9719647008,-70
-493.11323920999996,991.2517331501999,-70
-437.6160897623839,1065.1873778452436,-70
-478.8771601132122,1024.9936919025467,-70
-396.3550194115556,1105.3810637879408,-70
-308.68788270745,1119.5059611695,-70
-361.6124252219,1119.5059611695,-70
-255.763340193,1119.5059611695,-70
-179.7596756525161,1065.1873778452436,-70
-221.0207460033444,1105.3810637879408,-70
-138.4986053016878,1024.9936919025467,-70
-124.26252620490001,866.1151692419332,-70
-124.26252620490001,710.9786053336667,-70
-124.26252620490001,991.2517331501999,-70
-124.26252620490001,556.8420414254,-70
