x,y
-112.17122935559571,416.1897970597552
-197.41879700476107,367.8188746627288
-283.5361067656278,318.95444577219547
-343.5611531754565,284.89521168686764
-434.198871072,260.9719647008
-479.11323920999996,260.9719647008
-587.11323921,368.9719647008
-587.11323921,509.54190681315
-587.11323921,680.1118489255
-587.11323921,850.68179103785
-587.11323921,991.2517331501999
-544.4685680563312,1092.3269467179746
-503.2074977055029,1132.5206326606717
-461.9464273546746,1172.7143186033688
-361.6124252219,1213.5059611695
-308.68788270745,1213.5059611695
-255.763340193,1213.5059611695
-155.4293380602254,1172.7143186033688
-114.16826770939711,1132.5206326606717
-72.90719735856881,1092.3269467179746
-30.262526204900013,991.2517331501999
-30.262526204900013,866.1151692419332
-30.262526204900013,710.9786053336667
-30.262526204900013,556.8420414254
