x,y
-503.8287706444043,416.1897970597552
-418.5812029952389,367.8188746627288
-332.4638932343722,318.95444577219547
-272.4388468245435,284.89521168686764
-181.80112892800003,260.9719647008
-136.88676079000004,260.9719647008
-28.88676079000004,368.9719647008
-28.88676079000004,509.54190681315
-28.88676079000004,680.1118489255
-28.88676079000004,850.68179103785
-28.88676079000004,991.2517331501999
-71.53143194366885,1092.3269467179746
-112.79250229449713,1132.5206326606717
-154.0535726453254,1172.7143186033688
-254.38757477809997,1213.5059611695
-307.31211729255,1213.5059611695
-360.236659807,1213.5059611695
-460.5706619397746,1172.7143186033688
-501.8317322906029,1132.5206326606717
-543.0928026414311,1092.3269467179746
-585.7374737951,991.2517331501999
-585.7374737951,866.1151692419332
-585.7374737951,710.9786053336667
-585.7374737951,556.8420414254
