x,y,z
-372.19159260559485,449.5746331626475,-70
-286.07428284472815,400.7102042721142,-70
-457.4391602547603,497.94555555967395,-70
-226.0492364348994,366.65097018678637,-70
-181.80112892800003,354.9719647008,-70
-136.88676079000004,354.9719647008,-70
-122.88676079000004,509.54190681315,-70
-122.88676079000004,680.1118489255,-70
-122.88676079000004,850.68179103785,-70
-122.88676079000004,368.9719647008,-70
-122.88676079000004,991.2517331501999,-70
-178.38391023761608,1065.1873778452436,-70
-137.1228398867878,1024.9936919025467,-70
-219.6449805884444,1105.3810637879408,-70
-307.31211729255,1119.5059611695,-70
-254.38757477809997,1119.5059611695,-70
-360.236659807,1119.5059611695,-70
-436.2403243474839,1065.1873778452436,-70
-394.9792539966556,1105.3810637879408,-70
-477.5013946983122,1024.9936919025467,-70
-491.73747379509996,866.1151692419332,-70
-491.73747379509996,710.9786053336667,-70
-491.73747379509996,991.2517331501999,-70
-491.73747379509996,556.8420414254,-70
